Dlugosc kroku,Lp.,x1(0),x2(0),Metoda najszybszego spadku,,,,,,Metoda gradientow sprzezonych,,,,,,Metoda Newtona,,,,,,
,,,,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,H_calls,MinGlob
0.05,1,0.620979,-1.45783,0.00418083,-0.01009,9.45816e-05,63,62,TAK,0.000677196,-0.00237398,4.94532e-06,21,20,TAK,1.07054,-0.535289,0.877362,214,213,213,NIE
,2,1.08524,-1.82212,1.74846,-0.883077,0.298722,44,43,NIE,1.74776,-0.875746,0.298642,17,16,NIE,1.07054,-0.53529,0.877362,218,217,217,NIE
,3,0.634147,1.56985,-0.00441198,0.0106523,0.000105404,57,56,TAK,-7.43996e-05,0.00118593,1.32927e-06,23,22,TAK,1.07054,-0.535252,0.877362,227,226,226,NIE
,4,-0.832364,1.50573,-0.00426598,0.0102934,9.84389e-05,68,67,TAK,nan,nan,nan,10000,10000,NIE,-1.07054,0.535289,0.877362,214,213,213,NIE
,5,-0.124848,-1.85906,0.00422068,-0.0101878,9.64198e-05,62,61,TAK,5.33924e-05,-0.0018559,3.35099e-06,22,21,TAK,-1.18949e-06,-1.80883e-05,3.51531e-10,226,225,225,TAK
,6,0.350764,-0.978965,0.00437177,-0.0105516,0.000103432,56,55,TAK,0.000921907,-0.00156645,2.70947e-06,22,21,TAK,5.60768e-06,-1.80246e-05,2.86701e-10,213,212,212,TAK
,7,0.73253,-0.563206,0.00432263,-0.0104278,0.000101034,55,54,TAK,0.000404496,0.000721424,1.1395e-06,22,21,TAK,1.07052,-0.535276,0.877362,187,186,186,NIE
,8,-1.80234,-0.344228,-1.74666,0.864625,0.298719,50,49,NIE,-1.74741,0.871934,0.298642,20,19,NIE,-1.74755,0.873757,0.298638,217,216,216,NIE
,9,1.4446,1.63585,0.0042879,-0.0103347,9.92645e-05,71,70,TAK,nan,nan,nan,10000,10000,NIE,1.07054,-0.535253,0.877362,229,228,228,NIE
,10,-1.48029,-0.206676,-1.7467,0.865095,0.298711,50,49,NIE,-1.74728,0.872138,0.298641,20,19,NIE,-1.07054,0.535253,0.877362,215,214,214,NIE
,11,-0.692971,-1.42464,0.0044347,-0.0107093,0.00010653,55,54,TAK,-6.54423e-05,-0.00162977,2.77138e-06,22,21,TAK,-1.07054,0.535253,0.877362,226,225,225,NIE
,12,0.413561,1.87709,-0.00427209,0.0103124,9.87916e-05,61,60,TAK,-7.94637e-05,0.00130268,1.60608e-06,23,22,TAK,3.15345e-06,1.86852e-05,4.27949e-10,226,225,225,TAK
,13,0.663589,1.74025,-0.00419727,0.0101331,9.53824e-05,59,58,TAK,-6.65203e-05,0.00128577,1.57652e-06,23,22,TAK,1.07054,-0.535253,0.877362,229,228,228,NIE
,14,0.856974,1.34943,-0.00419056,0.010126,9.52229e-05,53,52,TAK,4.66963e-05,0.00155036,2.48037e-06,22,21,TAK,1.07054,-0.535253,0.877362,226,225,225,NIE
,15,-1.70249,0.188227,-1.74663,0.864372,0.298723,44,43,NIE,-1.74733,0.872153,0.298641,19,18,NIE,-1.74755,0.873758,0.298638,206,205,205,NIE
,16,-0.805857,1.67735,-0.00428032,0.0103281,9.91032e-05,69,68,TAK,nan,nan,nan,10000,10000,NIE,-1.07054,0.535289,0.877362,217,216,216,NIE
,17,1.12002,0.858609,0.00514849,-0.00995995,0.000100935,35,34,TAK,-0.00175618,0.002747,8.89014e-06,34,33,TAK,1.07054,-0.535253,0.877362,220,219,219,NIE
,18,0.643692,0.705308,-0.00422347,0.010272,9.7805e-05,43,42,TAK,-0.00131507,0.00280131,7.62224e-06,18,17,TAK,1.07054,-0.535253,0.877362,217,216,216,NIE
,19,1.22979,1.32963,0.00299442,0.0019728,2.77324e-05,31,30,TAK,0.000480317,0.000540854,1.01371e-06,41,40,TAK,1.07054,-0.535253,0.877362,226,225,225,NIE
,20,-1.16573,0.397302,-1.74668,0.864873,0.298715,48,47,NIE,nan,nan,nan,10000,10000,NIE,-1.07055,0.535256,0.877362,179,178,178,NIE
,21,0.388232,-1.3256,0.00422208,-0.0101904,9.64712e-05,60,59,TAK,0.00128324,-0.00208956,4.97827e-06,22,21,TAK,4.3761e-06,-1.79422e-05,2.81707e-10,219,218,218,TAK
,22,1.98346,-1.93853,1.7484,-0.882468,0.298711,49,48,NIE,1.74786,-0.875959,0.298643,20,19,NIE,1.74756,-0.873793,0.298638,218,217,217,NIE
,23,-0.214856,1.54051,-0.00418294,0.0100964,9.46979e-05,61,60,TAK,-0.000883878,0.00219619,4.44456e-06,22,21,TAK,-2.41285e-06,1.83139e-05,3.02855e-10,222,221,221,TAK
,24,0.943972,-1.83419,1.74839,-0.882351,0.298709,38,37,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535289,0.877362,219,218,218,NIE
,25,-1.5784,0.180588,-1.74668,0.864888,0.298714,45,44,NIE,-1.74738,0.872198,0.298641,19,18,NIE,-1.74755,0.873757,0.298638,205,204,204,NIE
,26,-1.79039,1.05095,-1.74842,0.882691,0.298715,31,30,NIE,-1.74785,0.875831,0.298643,15,14,NIE,-1.74756,0.873794,0.298638,181,180,180,NIE
,27,-0.275902,-0.206438,0.00349225,-0.0107077,0.000101651,25,24,TAK,0.00112278,-0.00102348,2.41963e-06,16,15,TAK,-1.38533e-05,-1.22273e-05,7.02722e-10,192,191,191,TAK
,28,1.94652,-0.477038,1.74671,-0.865181,0.298709,39,38,NIE,1.74744,-0.872137,0.298641,18,17,NIE,1.74757,-0.873763,0.298638,199,198,198,NIE
,29,-0.710983,-1.62598,0.0044304,-0.0106971,0.000106292,57,56,TAK,5.38477e-05,-0.00121366,1.41341e-06,23,22,TAK,-1.07054,0.535253,0.877362,228,227,227,NIE
,30,0.953021,1.93952,-0.00442442,0.0106832,0.000106015,58,57,TAK,5.42448e-06,0.00137174,1.88917e-06,23,22,TAK,1.07054,-0.535253,0.877362,231,230,230,NIE
,31,0.443106,0.536762,-0.00436006,0.0106056,0.000104258,41,40,TAK,-0.00101255,0.00283703,7.22663e-06,18,17,TAK,9.04078e-06,1.60474e-05,5.66073e-10,206,205,205,TAK
,32,1.22917,-1.63236,1.74845,-0.882988,0.29872,43,42,NIE,1.74761,-0.875461,0.298641,19,18,NIE,1.07054,-0.53529,0.877362,215,214,214,NIE
,33,-1.85288,-1.09648,-1.74665,0.864591,0.298719,55,54,NIE,-1.74724,0.870349,0.29865,12,11,NIE,-1.74755,0.873758,0.298638,227,226,226,NIE
,34,0.631712,0.976307,-0.00413605,0.00999814,9.28235e-05,50,49,TAK,5.85814e-05,0.0011787,1.46525e-06,22,21,TAK,1.07054,-0.535253,0.877362,221,220,220,NIE
,35,0.922415,-1.58151,1.74671,-0.865178,0.298709,43,42,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535289,0.877362,215,214,214,NIE
,36,1.56643,0.690357,1.74666,-0.864657,0.298718,53,52,NIE,1.74731,-0.871483,0.298643,20,19,NIE,1.74755,-0.873758,0.298638,222,221,221,NIE
,37,-1.12562,-0.847082,-0.00491148,0.0102827,0.000103476,37,36,TAK,-0.000984179,-0.00019783,2.17105e-06,41,40,TAK,-1.07054,0.535253,0.877362,220,219,219,NIE
,38,0.750978,-0.718062,0.00440774,-0.0106344,0.000105073,57,56,TAK,0.00106469,-0.00104705,2.24866e-06,21,20,TAK,1.07053,-0.535283,0.877362,192,191,191,NIE
,39,-0.368966,1.46301,-0.00423088,0.0102117,9.68744e-05,61,60,TAK,-0.00123044,0.00227041,5.38914e-06,22,21,TAK,-3.83765e-06,1.79847e-05,2.83885e-10,221,220,220,TAK
,40,1.3699,0.4855,1.74669,-0.864914,0.298714,53,52,NIE,1.74744,-0.872135,0.298641,19,18,NIE,1.07055,-0.535253,0.877362,215,214,214,NIE
,41,-1.69968,0.0875137,-1.74669,0.864932,0.298714,46,45,NIE,-1.74731,0.87193,0.298642,19,18,NIE,-1.74755,0.873758,0.298638,209,208,208,NIE
,42,-1.88378,-0.550375,-1.74669,0.864999,0.298712,52,51,NIE,-1.74739,0.872204,0.298641,21,20,NIE,-1.74755,0.873758,0.298638,220,219,219,NIE
,43,0.893113,1.57765,-0.00437744,0.0105732,0.000103833,55,54,TAK,2.06541e-05,0.00112313,1.28547e-06,23,22,TAK,1.07054,-0.535253,0.877362,228,227,227,NIE
,44,-1.6039,-0.225313,-1.74664,0.864406,0.298723,49,48,NIE,-1.74729,0.871999,0.298642,20,19,NIE,-1.74755,0.873758,0.298638,215,214,214,NIE
,45,0.151174,1.28201,-0.00425172,0.0102639,9.78622e-05,57,56,TAK,-0.000263291,0.00154126,2.10832e-06,22,21,TAK,2.15034e-06,1.88221e-05,4.03992e-10,218,217,217,TAK
,46,-1.23034,1.45316,-1.7484,0.882486,0.298711,40,39,NIE,-1.74762,0.875408,0.298641,18,17,NIE,-1.07055,0.535289,0.877362,212,211,211,NIE
,47,0.478719,-1.27145,0.00426268,-0.010288,9.83289e-05,60,59,TAK,0.00130304,-0.0019673,4.70262e-06,22,21,TAK,4.97144e-06,-1.76123e-05,2.72066e-10,218,217,217,TAK
,48,0.796817,-0.0292689,0.00427363,-0.0102732,9.81618e-05,47,46,TAK,0.000864759,0.000151165,1.64919e-06,23,22,TAK,1.07053,-0.535254,0.877362,201,200,200,NIE
,49,0.378477,-0.390969,0.0041346,-0.00997401,9.24318e-05,48,47,TAK,0.000850674,-0.00108638,1.70336e-06,20,19,TAK,1.20373e-05,-1.38538e-05,3.1496e-10,199,198,198,TAK
,50,-0.911316,-0.579368,-0.00382225,0.00127366,2.5973e-05,27,26,TAK,0.000219531,0.00176515,3.59965e-06,18,17,TAK,-1.07054,0.535253,0.877362,216,215,215,NIE
,51,-0.79321,1.90862,-0.00414897,0.0100108,9.31094e-05,73,72,TAK,nan,nan,nan,10000,10000,NIE,-1.07054,0.53529,0.877362,220,219,219,NIE
,52,-0.491938,0.678404,-0.00416745,0.0100569,9.3964e-05,54,53,TAK,-0.00120922,0.00226867,5.32796e-06,20,19,TAK,-9.19997e-06,1.6329e-05,2.85688e-10,206,205,205,TAK
,53,0.132693,-1.33879,0.00416778,-0.0100602,9.40193e-05,59,58,TAK,0.000776543,-0.00262603,6.06285e-06,21,20,TAK,1.80555e-06,-1.86196e-05,3.19589e-10,219,218,218,TAK
,54,-1.56924,-1.65554,-1.74667,0.864798,0.298716,59,58,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873757,0.298638,231,230,230,NIE
,55,1.46233,1.90725,0.00418907,-0.0100124,9.34024e-05,56,55,TAK,nan,nan,nan,10000,10000,NIE,1.07054,-0.535252,0.877362,231,230,230,NIE
,56,-0.220054,-0.709765,0.0041411,-0.010004,9.29492e-05,49,48,TAK,-1.0215e-05,-0.00125989,1.60039e-06,21,20,TAK,-5.05185e-06,-1.75414e-05,4.4736e-10,208,207,207,TAK
,57,1.83504,-1.32437,1.74844,-0.882912,0.298719,40,39,NIE,1.74765,-0.875493,0.298641,18,17,NIE,1.74756,-0.873794,0.298638,199,198,198,NIE
,58,-1.82514,-1.10647,-1.74665,0.86453,0.298721,55,54,NIE,-1.74744,0.872056,0.298641,17,16,NIE,-1.74755,0.873758,0.298638,227,226,226,NIE
,59,-1.72004,-1.77173,-1.74669,0.864942,0.298713,59,58,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873757,0.298638,232,231,231,NIE
,60,-1.3995,-0.326814,-1.74665,0.864591,0.298719,51,50,NIE,-1.74733,0.872133,0.298641,20,19,NIE,-1.07055,0.535253,0.877362,212,211,211,NIE
,61,-0.455936,1.06399,-0.00423093,0.0102114,9.68701e-05,58,57,TAK,-0.00100779,0.00169482,3.19566e-06,22,21,TAK,-5.74683e-06,1.71646e-05,2.62034e-10,215,214,214,TAK
,62,-1.65117,-0.960249,-1.7467,0.8651,0.298711,55,54,NIE,-1.74738,0.872027,0.298641,21,20,NIE,-1.74755,0.873758,0.298638,225,224,224,NIE
,63,-1.95656,1.51604,-1.7484,0.882514,0.298712,44,43,NIE,-1.74776,0.875727,0.298642,19,18,NIE,-1.74756,0.873793,0.298638,209,208,208,NIE
,64,0.919041,-1.06819,0.00414642,-0.0100041,9.29866e-05,67,66,TAK,nan,nan,nan,10000,10000,NIE,1.07054,-0.535289,0.877362,202,201,201,NIE
,65,-1.05388,0.346733,-0.00419297,0.0101129,9.50301e-05,65,64,TAK,nan,nan,nan,10000,10000,NIE,-1.07054,0.535253,0.877362,181,180,180,NIE
,66,1.00496,-1.40431,1.74664,-0.86471,0.298717,23,22,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535289,0.877362,211,210,210,NIE
,67,0.301081,0.52953,-0.00439816,0.0106532,0.000105324,43,42,TAK,-0.000293332,0.00248935,5.63876e-06,19,18,TAK,8.00364e-06,1.64365e-05,5.29828e-10,204,203,203,TAK
,68,0.81181,-0.468981,0.0044089,-0.0106335,0.000105066,55,54,TAK,0.000380092,0.000562089,8.1853e-07,37,36,TAK,1.07052,-0.535267,0.877362,184,183,183,NIE
,69,1.45159,-1.10165,1.7484,-0.882468,0.298711,31,30,NIE,1.74765,-0.875882,0.298643,16,15,NIE,1.07055,-0.535287,0.877362,203,202,202,NIE
,70,-0.220444,1.88278,-0.00435564,0.0105128,0.000102672,63,62,TAK,-0.00040762,0.00207823,3.80423e-06,22,21,TAK,-2.00976e-06,1.82399e-05,3.04113e-10,226,225,225,TAK
,71,1.26672,-1.94047,1.74839,-0.882379,0.29871,48,47,NIE,1.74787,-0.875762,0.298642,20,19,NIE,1.07054,-0.53529,0.877362,220,219,219,NIE
,72,-0.279989,-0.903867,0.00411507,-0.0099379,9.1734e-05,52,51,TAK,-2.94511e-05,-0.00159394,2.58933e-06,21,20,TAK,-5.0238e-06,-1.83006e-05,4.77326e-10,212,211,211,TAK
,73,-0.440515,0.42627,-0.0042954,0.0103617,9.97573e-05,49,48,TAK,-0.000982739,0.0010415,1.99274e-06,20,19,TAK,-1.22745e-05,1.37386e-05,3.2144e-10,200,199,199,TAK
,74,-1.63588,-0.558425,-1.74667,0.864732,0.298717,52,51,NIE,-1.7473,0.871604,0.298643,20,19,NIE,-1.74755,0.873757,0.298638,220,219,219,NIE
,75,-1.37216,0.980124,-1.74812,0.881658,0.298698,12,11,NIE,-1.74744,0.871091,0.298645,11,10,NIE,-1.07055,0.535287,0.877362,200,199,199,NIE
,76,-0.87943,1.74544,-1.74664,0.864435,0.298722,47,46,NIE,nan,nan,nan,10000,10000,NIE,-1.07054,0.535289,0.877362,218,217,217,NIE
,77,-1.69787,0.658384,-1.74668,0.864815,0.298716,33,32,NIE,-1.74728,0.871501,0.298643,15,14,NIE,-1.74755,0.873758,0.298638,184,183,183,NIE
,78,0.70159,0.822506,-0.00430081,0.0104354,0.00010101,45,44,TAK,-0.0014899,0.00321623,9.99187e-06,18,17,TAK,1.07054,-0.535253,0.877362,219,218,218,NIE
,79,-1.1105,-0.840174,-0.00487259,0.00940405,9.00977e-05,35,34,TAK,0.00117584,-0.000675513,2.42723e-06,33,32,TAK,-1.07054,0.535253,0.877362,220,219,219,NIE
,80,-1.52918,-0.343401,-1.7467,0.865086,0.298711,51,50,NIE,-1.74724,0.871843,0.298642,20,19,NIE,-1.74755,0.873757,0.298638,216,215,215,NIE
,81,1.29227,-1.2192,1.74846,-0.883069,0.298721,33,32,NIE,1.74796,-0.876078,0.298644,15,14,NIE,1.07055,-0.535289,0.877362,207,206,206,NIE
,82,-1.87634,1.09596,-1.74846,0.883106,0.298722,33,32,NIE,-1.7479,0.87591,0.298643,16,15,NIE,-1.74756,0.873791,0.298638,190,189,189,NIE
,83,1.539,0.263678,1.74668,-0.864839,0.298715,50,49,NIE,1.74729,-0.871973,0.298642,20,19,NIE,1.74755,-0.873758,0.298638,215,214,214,NIE
,84,-1.54644,1.71847,-1.74842,0.882725,0.298715,46,45,NIE,-1.74789,0.876112,0.298644,19,18,NIE,-1.74755,0.873795,0.298638,211,210,210,NIE
,85,-0.497264,1.53482,-0.0043604,0.0105237,0.000102886,62,61,TAK,-0.00115934,0.00226617,5.19638e-06,22,21,TAK,-4.25495e-06,1.82896e-05,2.92898e-10,221,220,220,TAK
,86,0.467759,1.77435,-0.00427404,0.0103175,9.88879e-05,60,59,TAK,-0.00010051,0.00128632,1.54555e-06,23,22,TAK,3.28772e-06,1.78826e-05,4.00199e-10,226,225,225,TAK
,87,-1.68696,-0.0709079,-1.7467,0.865038,0.298712,48,47,NIE,-1.74729,0.871592,0.298643,19,18,NIE,-1.74755,0.873757,0.298638,212,211,211,NIE
,88,-0.211338,1.04866,-0.0043502,0.0105004,0.000102427,56,55,TAK,-0.00114071,0.00236105,5.48372e-06,21,20,TAK,-3.40546e-06,1.78225e-05,2.80141e-10,215,214,214,TAK
,89,-0.691516,-1.57425,0.00429429,-0.0103686,9.98628e-05,57,56,TAK,5.67455e-05,-0.00118199,1.33646e-06,23,22,TAK,-1.07054,0.535253,0.877362,228,227,227,NIE
,90,0.691321,0.566297,-0.00420381,0.0107489,0.000105697,35,34,TAK,-0.00090529,0.000959992,1.69161e-06,18,17,TAK,1.07054,-0.535253,0.877362,215,214,214,NIE
,91,1.40768,-1.20732,1.74842,-0.88268,0.298715,35,34,NIE,1.7477,-0.875209,0.29864,18,17,NIE,1.07055,-0.535288,0.877362,207,206,206,NIE
,92,-0.931998,-0.381024,-0.00458177,0.0105981,0.000105747,39,38,TAK,-0.000515844,-0.000483687,1.01565e-06,24,23,TAK,-1.07054,0.535253,0.877362,212,211,211,NIE
,93,0.707788,1.335,-0.0043614,0.010534,0.000103065,54,53,TAK,6.78282e-05,0.00154295,2.49456e-06,22,21,TAK,1.07054,-0.535253,0.877362,225,224,224,NIE
,94,1.515,0.68774,1.74665,-0.864511,0.298721,53,52,NIE,1.74733,-0.871552,0.298643,20,19,NIE,1.74755,-0.873757,0.298638,221,220,220,NIE
,95,0.421671,1.22085,-0.00424438,0.0102483,9.75588e-05,55,54,TAK,-2.40815e-05,0.00139938,1.92572e-06,22,21,TAK,4.55432e-06,1.76567e-05,4.33658e-10,219,218,218,TAK
,96,0.939079,-1.11074,0.00410721,-0.00990919,9.12309e-05,70,69,TAK,nan,nan,nan,10000,10000,NIE,1.07054,-0.535289,0.877362,203,202,202,NIE
,97,-0.146072,-0.569221,0.00436686,-0.0105533,0.000103426,46,45,TAK,-3.36411e-05,-0.00155594,2.47555e-06,20,19,TAK,-4.49379e-06,-1.80709e-05,4.48154e-10,203,202,202,TAK
,98,-1.13777,-1.85284,0.00412287,-0.00996396,9.21963e-05,55,54,TAK,0.00152048,-0.00197446,5.5201e-06,19,18,TAK,-1.07054,0.535252,0.877362,230,229,229,NIE
,99,1.38915,-0.0125949,1.74667,-0.864804,0.298716,48,47,NIE,1.74756,-0.871636,0.298643,17,16,NIE,1.07055,-0.535255,0.877362,204,203,203,NIE
